                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86949,                 2.0081,                 1.3586,                      1,                0.30088,                0.90859,                0.67596,                0.75457,                 2.7605,                 1.5202,                 0.0003,                 0.0003,                 0.0003
                      2,                0.85518,                 1.2494,                 1.3537,                0.99941,                0.63636,                0.91278,                0.59219,                 1.0118,                  2.676,                 1.7875,             0.00061386,             0.00061386,             0.00061386
                      3,                0.93821,                 1.4829,                 1.4115,                0.93318,                0.76183,                0.93914,                0.64232,                 1.0543,                  2.496,                 2.0227,             0.00092139,             0.00092139,             0.00092139
                      4,                0.95962,                 1.2163,                  1.415,                0.68063,                0.73631,                0.74193,                0.41582,                  1.288,                 2.7787,                 2.1207,              0.0012226,              0.0012226,              0.0012226
                      5,                0.98879,                 1.1938,                 1.4073,                0.29672,                0.47273,                0.27886,                0.08601,                  2.246,                  4.602,                 3.0661,              0.0015174,              0.0015174,              0.0015174
                      6,                0.96379,                 1.0994,                  1.373,                 0.6972,                0.74545,                0.77724,                0.36486,                 1.6325,                 2.4625,                 2.7351,               0.001806,               0.001806,               0.001806
                      7,                 1.0521,                 1.1638,                 1.4553,                0.62382,                0.67273,                0.69119,                0.32105,                 1.5932,                 2.3533,                  3.013,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0178,                 1.0934,                 1.4155,                 0.5137,                0.63636,                0.50138,                0.20588,                  1.964,                 4.1341,                 3.2825,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.0056,                   1.04,                 1.4021,                0.84506,                0.79342,                0.86339,                0.51792,                 1.1225,                 1.7187,                 2.1271,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0064,                0.99623,                 1.4149,                  0.493,                0.70909,                0.64196,                0.34782,                 1.7276,                  1.795,                 2.6171,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.0748,                0.96903,                 1.4971,                0.90222,                    0.8,                 0.8893,                 0.5095,                 1.3301,                 1.3414,                 2.2522,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0204,                0.89126,                 1.4627,                0.75509,                0.84091,                0.85449,                0.57466,                 1.2363,                 1.4389,                 2.0348,               0.001802,               0.001802,               0.001802
                     13,                0.99429,                0.94161,                 1.5106,                0.84124,                0.61818,                0.80875,                0.54519,                  1.119,                 1.5817,                 1.8844,              0.0017822,              0.0017822,              0.0017822
                     14,                0.97822,                0.90786,                 1.3893,                0.85532,                0.89091,                 0.9157,                  0.599,                 1.2042,                 1.5292,                  2.149,              0.0017624,              0.0017624,              0.0017624
                     15,                0.94467,                0.87887,                 1.3978,                0.88346,                0.82706,                0.84133,                0.44394,                 1.6094,                 1.7369,                 2.7307,              0.0017426,              0.0017426,              0.0017426
                     16,                0.94102,                 0.8214,                 1.3753,                0.91715,                0.92727,                0.97856,                0.61685,                 1.1613,                0.99874,                 1.9737,              0.0017228,              0.0017228,              0.0017228
                     17,                0.87255,                0.76916,                 1.3109,                0.94398,                0.94545,                0.97426,                0.67652,                  1.114,                0.83659,                 1.8459,               0.001703,               0.001703,               0.001703
                     18,                0.87405,                0.74158,                 1.3021,                0.94477,                0.93312,                0.95789,                0.67849,                 1.0371,                0.92819,                  1.724,              0.0016832,              0.0016832,              0.0016832
                     19,                0.89376,                0.75006,                 1.3409,                0.88601,                0.84801,                0.91957,                0.62885,                 1.0989,                0.99266,                 1.8299,              0.0016634,              0.0016634,              0.0016634
                     20,                0.92245,                0.76547,                 1.3275,                0.86958,                0.72727,                0.86069,                0.52515,                 1.3484,                 1.2291,                 2.1199,              0.0016436,              0.0016436,              0.0016436
                     21,                0.85411,                0.78016,                 1.2905,                0.91222,                0.94476,                0.98154,                0.65484,                 1.0604,                 0.7943,                 1.7751,              0.0016238,              0.0016238,              0.0016238
                     22,                0.93532,                0.78786,                 1.3724,                0.83893,                0.96364,                0.96551,                0.68772,                0.99447,                0.75672,                  1.752,               0.001604,               0.001604,               0.001604
                     23,                 0.8639,                0.74685,                 1.2806,                0.94626,                0.96056,                0.98694,                0.72306,                0.87744,                0.76621,                 1.5745,              0.0015842,              0.0015842,              0.0015842
                     24,                0.87175,                0.82449,                   1.32,                0.98031,                0.90546,                 0.9357,                0.69433,                0.93404,                0.79159,                 1.5874,              0.0015644,              0.0015644,              0.0015644
                     25,                0.90044,                0.74396,                 1.3844,                0.95177,                0.96364,                0.99071,                0.74785,                0.90647,                0.64511,                  1.573,              0.0015446,              0.0015446,              0.0015446
                     26,                0.83806,                 0.6919,                 1.2793,                0.93034,                0.97144,                 0.9848,                0.72573,                  1.034,                0.70261,                 1.7448,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.0831,                0.77186,                 1.7007,                0.94618,                0.95895,                0.98618,                0.68456,                 1.0551,                0.72546,                    1.7,               0.001505,               0.001505,               0.001505
                     28,                0.85799,                0.65243,                 1.3345,                0.96221,                0.92596,                0.97714,                0.68968,                0.97381,                0.70706,                 1.6222,              0.0014852,              0.0014852,              0.0014852
                     29,                0.79166,                0.60436,                 1.2469,                0.97472,                0.94545,                 0.9907,                0.74075,                0.89696,                0.65167,                 1.5491,              0.0014654,              0.0014654,              0.0014654
                     30,                0.85286,                0.64697,                 1.2942,                0.93476,                0.98182,                0.98214,                0.71891,                0.94466,                0.74686,                 1.6023,              0.0014456,              0.0014456,              0.0014456
                     31,                 0.8041,                  0.621,                 1.2699,                0.88355,                0.82783,                 0.9101,                0.65724,                0.95078,                0.95856,                  1.571,              0.0014258,              0.0014258,              0.0014258
                     32,                0.84238,                0.62891,                 1.2748,                0.95438,                0.89091,                0.95405,                 0.7004,                 1.0444,                0.71361,                 1.6654,               0.001406,               0.001406,               0.001406
                     33,                0.78716,                0.63716,                 1.2424,                0.98486,                0.89091,                 0.9584,                0.70506,                0.94599,                0.87748,                 1.5988,              0.0013862,              0.0013862,              0.0013862
                     34,                0.79205,                0.64351,                 1.2587,                0.96363,                0.96353,                0.96993,                0.74139,                0.89809,                 1.0152,                  1.563,              0.0013664,              0.0013664,              0.0013664
                     35,                0.78828,                0.60942,                 1.2332,                0.97862,                0.98182,                0.99078,                0.79812,                0.78314,                  0.739,                 1.4473,              0.0013466,              0.0013466,              0.0013466
                     36,                0.72595,                0.53808,                 1.2058,                0.96619,                0.89091,                 0.9644,                0.79329,                 0.7399,                0.58763,                 1.3915,              0.0013268,              0.0013268,              0.0013268
                     37,                0.75338,                0.56866,                 1.2259,                0.98211,                0.99808,                0.99446,                0.79065,                0.76055,                0.47674,                 1.4337,               0.001307,               0.001307,               0.001307
                     38,                0.74595,                 0.5737,                 1.2381,                0.98388,                0.98182,                0.99402,                0.78081,                 0.8273,                0.58827,                  1.464,              0.0012872,              0.0012872,              0.0012872
                     39,                0.71482,                0.53609,                 1.2142,                0.96239,                      1,                0.99249,                0.80314,                0.75803,                0.64862,                 1.4268,              0.0012674,              0.0012674,              0.0012674
                     40,                0.79668,                0.55696,                 1.2778,                0.94519,                      1,                0.99287,                0.81511,                0.75032,                 0.4966,                 1.3763,              0.0012476,              0.0012476,              0.0012476
                     41,                0.76143,                0.56408,                 1.2066,                0.86831,                0.85455,                0.93187,                 0.7349,                0.79703,                0.72229,                 1.4357,              0.0012278,              0.0012278,              0.0012278
                     42,                0.72949,                0.53179,                 1.1931,                0.96361,                0.96296,                0.99106,                0.79675,                0.75784,                0.46196,                 1.3854,               0.001208,               0.001208,               0.001208
                     43,                0.72788,                0.55146,                 1.1929,                0.97929,                0.98182,                0.99429,                0.80606,                0.76449,                0.47132,                 1.4539,              0.0011882,              0.0011882,              0.0011882
                     44,                0.71313,                 0.5088,                 1.1906,                0.97823,                0.94545,                0.96585,                0.79221,                0.78105,                0.51388,                  1.446,              0.0011684,              0.0011684,              0.0011684
                     45,                0.88366,                0.71861,                 1.3295,                0.94213,                0.92727,                0.98146,                 0.7776,                0.82108,                0.57052,                 1.4625,              0.0011486,              0.0011486,              0.0011486
                     46,                0.72452,                0.53847,                 1.1913,                0.97928,                0.96364,                0.99223,                0.79464,                0.77763,                0.52514,                 1.3977,              0.0011288,              0.0011288,              0.0011288
                     47,                0.73303,                 0.5465,                 1.2646,                0.90125,                      1,                0.98682,                0.77046,                0.79513,                0.53916,                  1.433,               0.001109,               0.001109,               0.001109
                     48,                0.72676,                0.51755,                 1.2024,                      1,                 0.9975,                  0.995,                 0.8234,                0.72243,                0.42081,                 1.3501,              0.0010892,              0.0010892,              0.0010892
                     49,                0.78319,                0.56714,                 1.2444,                0.98209,                  0.997,                0.99411,                0.82905,                0.71404,                0.44379,                 1.3637,              0.0010694,              0.0010694,              0.0010694
                     50,                0.69157,                0.51457,                 1.2052,                0.96306,                      1,                0.98529,                0.80302,                0.73975,                0.44629,                 1.3745,              0.0010496,              0.0010496,              0.0010496
                     51,                0.70372,                0.51005,                 1.1738,                0.98142,                 0.9606,                0.99217,                0.80866,                0.74746,                0.46007,                 1.3904,              0.0010298,              0.0010298,              0.0010298
                     52,                0.73761,                0.53823,                 1.2409,                0.96426,                      1,                  0.995,                0.79461,                0.75031,                0.44192,                 1.3934,                0.00101,                0.00101,                0.00101
                     53,                0.65488,                0.47019,                 1.1268,                0.95915,                0.98182,                0.97644,                  0.799,                0.76834,                0.48127,                 1.4053,              0.0009902,              0.0009902,              0.0009902
